Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_9x9.5RM5.0,1,Buzzer,c
"C1, C8",0603,2,2.2uF,C23630
C10,0805,1,10uF,C96446
"C11, C12, C15, C16, C17, C2, C3, C30, C4, C6, C9",01005,11,100nF,C1525
"C13, C14",0603,2,18pF,C1647
"C20, C29",0603,2,10nF,C57112
"C23, C5",0603,2,1uF,C15849
C7,0805,1,22uF, C45783
"D1, D6",0603,2,LED-RED,C2286
"D10, D11, D4, D8, D9",0603,5,LED-YELLOW,C72038
D16,SOT-363_SC-70-6,1,SRV05-4,C85364
D17,D_SOD-123,1,B5819W,C8598
D2,D_SMC,1,SS54,C22452
D3,D_SMC,1,SM15T33C,C133707
D5,0603,1,LED-WHITE,C2290
FB1,0201,1,FILTER,C1034
J1,USB-MINI-B-VERTICAL,1,USB_B_Mini,C13453
J2,PinSocket_1x14_P2.54mm_Vertical,1,"LCD 3.2"" 240x320 Conn_01x14_Pin",
J3,"TerminalBlock_Phoenix_PT-1,5-6-3.5-H_1x06_P3.50mm_Horizontal",1,Screw_Terminal_01x06,
J4,CON14_2X7_DUK_FTSH_SAI,1,Conn_ST_STDC14,
PS1,PinHeader_1x04_P2.54mm_Vertical,1,D36V6F5,
"Q1, Q4, Q5",SOT-23,3,SI2301CDS-T1-GE3, C20917
R1,0805,1,120R,C17437
"R10, R11, R12, R14, R15, R2, R33, R36, R37, R38, R39, R43, R45, R5, R7, R8, R9",0603,17,10K,C25804
R13,0603,1,R100,
"R27, R28, R29",0603,3,22R,C23345
"R3, R30, R32, R35, R4",0603,5,100R,C22775
"R34, R48",0603,2,1k,C21190
R47,0603,1,100K,C25803
R6,0603,1,2.2K,C4190
RN2,R_Array_Convex_4x0603,1,1k,C20197
"SW1, SW2",SW_Push_1P1T_XKB_TS-1187A,2,SW_Push,C318884
TP1,TestPoint_Pad_D1.0mm,1,5V,
TP10,TestPoint_Pad_D1.0mm,1,PC8,
TP11,TestPoint_Pad_D1.0mm,1,PC9,
TP12,TestPoint_Pad_D1.0mm,1,PC13,
TP13,TestPoint_Pad_D1.0mm,1,PC14,
TP14,TestPoint_Pad_D1.0mm,1,PC15,
TP15,TestPoint_Pad_D1.0mm,1,PC0,
TP16,TestPoint_Pad_D1.0mm,1,PA0,
TP17,TestPoint_Pad_D1.0mm,1,PA1,
TP18,TestPoint_Pad_D1.0mm,1,PA4,
TP19,TestPoint_Pad_D1.0mm,1,PA8,
TP2,TestPoint_Pad_D1.0mm,1,+3.3V,
TP20,TestPoint_Pad_D1.0mm,1,PB4,
TP21,TestPoint_Pad_D1.0mm,1,PB5,
TP22,TestPoint_Pad_D1.0mm,1,PB8,
TP24,TestPoint_Pad_D1.0mm,1,PB10,
TP25,TestPoint_Pad_D1.0mm,1,PB11,
TP26,TestPoint_Pad_D1.0mm,1,PB12,
TP27,TestPoint_Pad_D1.0mm,1,PD6,
TP28,TestPoint_Pad_D1.0mm,1,PD7,
TP29,TestPoint_Pad_D1.0mm,1,PD8,
"TP3, TP4",TestPoint_Pad_D1.0mm,2,IIS3DHHCTR_SDI,
TP30,TestPoint_Pad_D1.0mm,1,PD9,
TP31,TestPoint_Pad_D1.0mm,1,PE8,
TP32,TestPoint_Pad_D1.0mm,1,PE7,
TP33,TestPoint_Pad_D1.0mm,1,PE0,
TP34,TestPoint_Pad_D1.0mm,1,PE1,
TP35,TestPoint_Pad_D1.0mm,1,PE9,
TP36,TestPoint_Pad_D1.0mm,1,PE10,
TP37,TestPoint_Pad_D1.0mm,1,PE11,
TP38,TestPoint_Pad_D1.0mm,1,PE12,
TP39,TestPoint_Pad_D1.0mm,1,PD10,
TP40,TestPoint_Pad_D1.0mm,1,PD11,
TP5,TestPoint_Pad_D1.0mm,1,IIS3DHHCTR_SCK,
TP6,TestPoint_Pad_D1.0mm,1,5V ISO,
TP7,TestPoint_Pad_D1.0mm,1,GND ISO,
TP8,TestPoint_Pad_D1.0mm,1,PC6,
TP9,TestPoint_Pad_D1.0mm,1,PC7,
U1,B0505S-1WR2_MNS,1,B0505S-1WR2,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,ISO1042-Q1,C2672259
U22,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TLV76733DRVx,
U3,LQFP-100_14x14mm_P0.5mm,1,STM32F427V_G-I_Tx,
U4,DIP-24_W15.24mm_Socket,1,ST_SENSOR_2,
U5,CCLGA-16L_5X5X1P7_STM,1,IIS3DHHCTR,
X1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz 20pF,C115962
