Designator,Mid X,Mid Y,Rotation,Layer
BZ1,146.25,-71.05,0.0,top
C1,149.55,-107.375,270.0,top
C11,128.57,-78.6,180.0,top
C12,130.15,-78.6,0.0,top
C20,133.275,-125.35,180.0,top
C21,152.514,-132.461,0.0,top
C22,155.8415,-132.461,180.0,top
C23,159.505,-128.9635,90.0,top
C24,161.029,-128.9635,90.0,top
C27,164.077,-128.43,90.0,top
C29,162.553,-128.43,90.0,top
C30,143.8332,-123.8072,180.0,top
C31,164.2548,-123.858,90.0,top
C32,143.256,-108.217,270.0,top
C33,146.35,-108.71,0.0,top
C34,143.25,-104.575,270.0,top
C37,176.680005,-142.953594,270.0,top
C5,157.4,-72.075,90.0,top
C6,160.841253,-76.299396,270.0,top
C7,160.75,-72.15,270.0,top
C8,153.45,-136.85,0.0,top
C9,153.45,-139.36,0.0,top
D14,175.562405,-135.612994,180.0,top
D16,173.124005,-143.334594,180.0,top
D17,168.044005,-135.968594,0.0,top
D2,174.7,-110.35,0.0,top
D3,174.7,-117.6,0.0,top
D4,176.27,-122.425,0.0,top
D5,176.27,-125.465,0.0,top
D6,176.27,-128.505,0.0,top
D7,160.265,-90.05,0.0,top
D8,176.27,-131.545,0.0,top
D9,160.265,-92.64,0.0,top
FB1,164.204,-126.144,180.0,top
J1,174.141005,-140.506594,180.0,top
J3,175.55,-94.6,90.0,top
J4,127.518,-139.41,270.0,top
J5,137.775,-139.38,0.0,top
PS1,167.35,-90.85,0.0,top
Q1,158.5125,-85.65,180.0,top
Q2,148.0,-86.75,0.0,top
Q3,148.32,-95.84,0.0,top
R1,177.5,-80.3625,90.0,top
R10,125.4,-73.825,270.0,top
R11,136.9,-103.6,0.0,top
R12,136.9,-106.15,0.0,top
R13,160.225,-95.19,0.0,top
R14,160.225,-97.7,0.0,top
R15,136.9,-93.5,180.0,top
R4,164.666253,-75.574396,0.0,top
R43,129.975,-125.35,180.0,top
R45,143.7545,-121.1918,180.0,top
R47,169.568005,-142.953594,270.0,top
R48,178.077005,-136.146394,270.0,top
R5,172.02,-131.84,180.0,top
R6,172.02,-129.33,180.0,top
R7,150.0875,-80.35,0.0,top
R8,125.4,-77.025,270.0,top
R9,137.15,-76.9,0.0,top
RN2,172.7,-123.3,270.0,top
SW1,129.85,-122.2,0.0,top
SW2,129.9,-128.6,0.0,top
U1,154.5368,-118.1946,0.0,top
U2,172.275,-80.305,270.0,top
U22,164.8875,-71.55,0.0,top
U3,173.2,-73.1,0.0,top
U4,132.785,-94.745,0.0,top
U5,130.29962,-75.0447,0.0,top
X1,154.178,-129.54,180.0,top
